Timestamp,ToolID,AlarmID,Severity,AlarmCode,Description,Status,AnomalyFlag
2024-06-01 08:01:00,ETCH-TOOL-3,A001,INFO,EVT_0001,Recipe loaded: R_ETCH_SiO2_V3,CLEARED,
2024-06-01 08:05:00,ETCH-TOOL-3,A002,INFO,EVT_0002,Process started: LOT_2024_0601,CLEARED,
2024-06-01 08:12:00,ETCH-TOOL-3,A003,WARNING,ALM_0101,RF power deviation >3%,CLEARED,
2024-06-01 08:13:00,ETCH-TOOL-3,A004,CRITICAL,ALM_0201,Chamber pressure loss,ACTIVE,ALARM
2024-06-01 08:13:02,ETCH-TOOL-3,A005,CRITICAL,ALM_0202,Gas flow valve failure,ACTIVE,ALARM
2024-06-01 08:13:05,ETCH-TOOL-3,A006,CRITICAL,ALM_0203,Wafer chuck temperature runaway,ACTIVE,ALARM
2024-06-01 08:13:06,ETCH-TOOL-3,A007,CRITICAL,ALM_0204,Emergency stop triggered,ACTIVE,ALARM_CASCADE
2024-06-01 08:13:07,ETCH-TOOL-3,A008,CRITICAL,ALM_0205,Coolant pump fault,ACTIVE,ALARM_CASCADE
2024-06-01 08:13:08,ETCH-TOOL-3,A009,CRITICAL,ALM_0206,Interlock relay K3 open,ACTIVE,ALARM_CASCADE
2024-06-01 08:20:00,ETCH-TOOL-3,A010,INFO,EVT_0010,Maintenance mode entered,CLEARED,
2024-06-01 08:25:00,ETCH-TOOL-3,A011,,ALM_0301,Endpoint detect signal lost,ACTIVE,MISSING_FIELD
2024-06-01 09:00:00,ETCH-TOOL-3,A012,INFO,EVT_0020,Resume production,CLEARED,
2024-06-01 12:30:00,ETCH-TOOL-3,A013,WARNING,ALM_0401,Scheduled PM overdue [GAP: 3.5hr],ACTIVE,TS_GAP
2024-06-01 13:??:??,ETCH-TOOL-3,????,UNKNOWN,ALM_????,[RECORD CORRUPTED — PARTIAL WRITE],UNKNOWN,CORRUPT
