Timestamp,ToolID,WaferID,ParameterName,MeasuredValue,ControlLimit_Lo,ControlLimit_Hi,SigmaLevel,FDCResult,AnomalyFlag
2024-06-01 09:05:00,CVD-07,WAF_001,Chamber_Temp_C,302.1,290,320,0.4,IN_CONTROL,
2024-06-01 09:05:00,CVD-07,WAF_001,Deposition_Rate_A/s,4.8,4,6,0.3,IN_CONTROL,
2024-06-01 09:10:00,CVD-07,WAF_002,Chamber_Temp_C,304.5,290,320,0.6,IN_CONTROL,
2024-06-01 09:10:00,CVD-07,WAF_002,Deposition_Rate_A/s,4.9,4,6,0.2,IN_CONTROL,
2024-06-01 09:15:00,CVD-07,WAF_003,Chamber_Temp_C,338.7,290,320,2.6,WARNING,OUT_OF_RANGE:Temp_2.6Sigma
2024-06-01 09:15:00,CVD-07,WAF_003,Deposition_Rate_A/s,3.1,4,6,2.9,FAULT,OUT_OF_RANGE:DepRate_Below_LCL
2024-06-01 09:20:00,CVD-07,WAF_004,Chamber_Temp_C,361.2,290,320,5.4,FAULT,OUT_OF_RANGE:Temp_5.4Sigma
2024-06-01 09:20:00,CVD-07,WAF_004,Deposition_Rate_A/s,7.8,4,6,2.9,FAULT,OUT_OF_RANGE:DepRate_Above_UCL
2024-06-01 09:25:00,CVD-07,WAF_005,Chamber_Temp_C,305.0,,,0.5,UNKNOWN,MISSING_FIELD:ControlLimits
2024-06-01 09:30:00,CVD-07,WAF_006,RF_Power_W,510.0,450,550,N/A,IN_CONTROL,CORRUPT:SigmaLevel
2024-06-01 13:00:00,CVD-07,WAF_007,Chamber_Temp_C,299.8,290,320,0.3,IN_CONTROL,TS_GAP:3.5hr
2024-06-01 12:58:00,CVD-07,WAF_007,Deposition_Rate_A/s,5.0,4,6,0.2,IN_CONTROL,TS_REVERSAL
2024-06-01 13:05:00,CVD-07,WAF_008,Chamber_Temp_C,365.0,290,320,5.8,FAULT,ALARM_CASCADE
2024-06-01 13:05:00,CVD-07,WAF_008,Deposition_Rate_A/s,2.5,4,6,3.4,FAULT,ALARM_CASCADE
2024-06-01 13:05:00,CVD-07,WAF_008,Pressure_mTorr,88.0,40,60,9.8,FAULT,ALARM_CASCADE
2024-06-01 13:05:00,CVD-07,WAF_008,GasFlow_H2_sccm,5.0,20,120,4.2,FAULT,ALARM_CASCADE
